element_id,element_type,latitude,longitude,highway,crossing,traffic_signals
5174894665,node,-27.4663312,153.0145841,traffic_signals,,signal
5174894677,node,-27.466173,153.0143495,traffic_signals,,signal
5174894695,node,-27.4659525,153.0126745,traffic_signals,,
5174894822,node,-27.4667426,153.0107085,crossing,traffic_signals,
5174894824,node,-27.4673933,153.0091358,traffic_signals,,signal
5174894829,node,-27.4668099,153.0107337,crossing,traffic_signals,
5174894842,node,-27.4661789,153.0126588,traffic_signals,,pedestrian_crossing
5174894845,node,-27.4650897,153.0131166,traffic_signals,,
5174894856,node,-27.4661434,153.0127227,traffic_signals,,
5174894873,node,-27.4661711,153.0149398,traffic_signals,,
5174894900,node,-27.4663298,153.014723,traffic_signals,,signal
5174894901,node,-27.4658087,153.0159289,traffic_signals,,signal
5174894936,node,-27.4675279,153.0177051,traffic_signals,,signal
5174894937,node,-27.467427,153.01437,crossing,unmarked,
5174894943,node,-27.4674014,153.0144777,crossing,unmarked,
5174894952,node,-27.4672466,153.0150782,traffic_signals,,
5174894967,node,-27.4672953,153.0151434,traffic_signals,,
5174909350,node,-27.4666355,153.0106023,crossing,traffic_signals,
5174909358,node,-27.4665864,153.0106086,traffic_signals,,
5174918520,node,-27.4659518,153.0157606,traffic_signals,,signal
5175686243,node,-27.4662795,153.0147187,crossing,traffic_signals,
5175699409,node,-27.4665288,153.0146501,crossing,,
5175699410,node,-27.4664582,153.0145701,crossing,,
5211726288,node,-27.4731459,153.0050327,crossing,traffic_signals,
5211726289,node,-27.4704609,153.0083707,crossing,traffic_signals,
5211726291,node,-27.4703591,153.0084801,crossing,traffic_signals,
5231717311,node,-27.4635651,152.9995057,crossing,traffic_signals,
5268965253,node,-27.4695739,153.0051705,crossing,unmarked,
5326385814,node,-27.4625136,153.0089906,crossing,traffic_signals,
5898069395,node,-27.47162,153.0050397,crossing,unmarked,
6284124135,node,-27.4689103,153.0085696,crossing,unmarked,
6604746883,node,-27.4621004,153.0165141,crossing,,
6618171335,node,-27.473726,153.0146246,traffic_signals,,
6660342139,node,-27.4588468,153.0143245,crossing,,
6862307936,node,-27.4756197,153.0094969,crossing,traffic_signals,
6862307949,node,-27.4756498,153.0093402,crossing,traffic_signals,
6862307956,node,-27.4724509,153.0132391,crossing,traffic_signals,
6862307968,node,-27.4711404,153.0151498,crossing,,
6862307972,node,-27.4741519,153.011152,crossing,uncontrolled,
6862307979,node,-27.4706319,153.0163906,crossing,unmarked,
6862356897,node,-27.4724704,153.0130489,crossing,traffic_signals,
6862356921,node,-27.4716916,153.0141945,crossing,traffic_signals,
6862356922,node,-27.4706218,153.0164593,crossing,unmarked,
6947470061,node,-27.4715267,153.0142812,traffic_signals,,signal
6947470076,node,-27.4732351,153.0152709,crossing,traffic_signals,
6947473187,node,-27.4704218,153.0083541,traffic_signals,,signal
6947473193,node,-27.473405,153.0153863,crossing,traffic_signals,
6947473199,node,-27.4703083,153.0084085,traffic_signals,,
6947473210,node,-27.4715536,153.0142272,crossing,traffic_signals,
6947473219,node,-27.473287,153.0154341,crossing,traffic_signals,
6947473220,node,-27.4722586,153.0146827,crossing,unmarked,
6947473229,node,-27.4733874,153.0152466,crossing,traffic_signals,
6947473231,node,-27.4732335,153.0153969,crossing,traffic_signals,
6947473232,node,-27.4715141,153.0140495,traffic_signals,,signal
6947473234,node,-27.47063,153.0083027,traffic_signals,,signal
6947473237,node,-27.4718271,153.0049304,crossing,unmarked,
6947473240,node,-27.4733387,153.0152039,crossing,traffic_signals,
6947473241,node,-27.4716663,153.0139478,traffic_signals,,signal
6947473253,node,-27.4705469,153.0085467,crossing,traffic_signals,
6947473260,node,-27.4737653,153.0142934,crossing,traffic_signals,
6947473267,node,-27.4704693,153.008498,crossing,traffic_signals,
7108611076,node,-27.4680169,153.0205613,crossing,traffic_signals,
7121897945,node,-27.4610186,153.0041338,crossing,unmarked,
7389501889,node,-27.472977,153.0053888,traffic_signals,,
7447524106,node,-27.4672655,153.0163089,crossing,unmarked,
7759952663,node,-27.4669338,153.0209152,traffic_signals,,signal
7759952672,node,-27.4669926,153.0207481,crossing,traffic_signals,
7759952673,node,-27.4670871,153.0207182,crossing,traffic_signals,
7759952675,node,-27.4669833,153.0207138,traffic_signals,,signal
7771553727,node,-27.4746041,153.0085642,crossing,unmarked,
7771553730,node,-27.4749066,153.0088573,crossing,,
8005059203,node,-27.4710255,153.0139112,traffic_signals,,signal
8043199844,node,-27.4719884,153.013357,crossing,unmarked,
8043199858,node,-27.4723133,153.0130449,crossing,traffic_signals,
8065365227,node,-27.4620962,153.0070067,crossing,unmarked,
8065365269,node,-27.4609819,153.0038941,crossing,unmarked,
8065365270,node,-27.4614348,153.0049213,crossing,unmarked,
8171937388,node,-27.4669101,153.0200304,crossing,traffic_signals,
8171937391,node,-27.4668334,153.0201106,crossing,traffic_signals,
8244239937,node,-27.472437,153.0167291,crossing,unmarked,
8303063089,node,-27.4595785,153.0144924,traffic_signals,,
8303063090,node,-27.4607588,153.0182241,traffic_signals,,signal
8303063091,node,-27.4610218,153.0184461,traffic_signals,,signal
8382622752,node,-27.4716441,153.0184778,,,
8427283266,node,-27.4739161,153.0142747,crossing,traffic_signals,
8427283282,node,-27.4738679,153.0142371,crossing,traffic_signals,
8427283287,node,-27.4739236,153.0144084,crossing,traffic_signals,
8563580807,node,-27.4714933,153.0138112,traffic_signals,,signal
8563580810,node,-27.4711453,153.0139833,traffic_signals,,signal
8563589127,node,-27.4722928,153.0130151,traffic_signals,,signal
9050057045,node,-27.4672552,153.019912,crossing,traffic_signals,
9050057049,node,-27.4689077,153.0193102,crossing,unmarked,
9063858064,node,-27.4683082,153.0183894,crossing,traffic_signals,
9063858072,node,-27.4682102,153.0185535,crossing,traffic_signals,
9063858073,node,-27.4672329,153.0197986,crossing,traffic_signals,
9063858075,node,-27.4682006,153.0184358,crossing,traffic_signals,
9063858076,node,-27.4682517,153.0183718,crossing,traffic_signals,
9063858090,node,-27.4676297,153.0176899,crossing,traffic_signals,
9063858091,node,-27.4675694,153.0177583,crossing,traffic_signals,
9063858096,node,-27.4675454,153.0178448,traffic_signals,,signal
9063858097,node,-27.4675701,153.017838,crossing,traffic_signals,
9063858102,node,-27.4674567,153.0177382,crossing,unmarked,
9176665094,node,-27.465182,153.0135836,,,
9201722762,node,-27.4688013,153.0092426,crossing,marked,
9217769849,node,-27.4686387,153.0110901,crossing,traffic_signals,
9217769850,node,-27.468691,153.0111447,crossing,traffic_signals,
9217769859,node,-27.4684933,153.0108863,traffic_signals,,
9217769865,node,-27.4683495,153.0112377,traffic_signals,,
9217769892,node,-27.4687673,153.011277,crossing,traffic_signals,
9359670653,node,-27.4681835,153.0184154,traffic_signals,,
9359670654,node,-27.4681939,153.018574,traffic_signals,,
9359670658,node,-27.4682245,153.0183426,traffic_signals,,
9359670659,node,-27.4683195,153.0183774,traffic_signals,,
9459640406,node,-27.4719804,153.0123903,,,
9632284711,node,-27.4667815,153.0012155,traffic_signals,,
9632284712,node,-27.4667888,153.0009499,traffic_signals,,
9632284713,node,-27.4666491,153.0009476,traffic_signals,,
9632284714,node,-27.4664616,153.0011599,traffic_signals,,
9632284715,node,-27.4665411,153.001304,traffic_signals,,
9632287420,node,-27.470713,152.9997129,traffic_signals,,
9632287481,node,-27.465684,153.003487,crossing,unmarked,
9632287508,node,-27.4679761,153.0072044,traffic_signals,,
9632287511,node,-27.4681133,153.0074124,traffic_signals,,
9632287512,node,-27.4690626,153.003989,traffic_signals,,
9632287513,node,-27.4692215,153.0035293,traffic_signals,,
9632287526,node,-27.4691847,153.0039414,crossing,traffic_signals,
9632287532,node,-27.4691914,153.0036153,crossing,traffic_signals,
9632287533,node,-27.469216,153.0038507,crossing,traffic_signals,
9632287567,node,-27.4624412,153.0091427,traffic_signals,,
9632287617,node,-27.4567679,153.0103074,traffic_signals,,
9632287618,node,-27.4567245,153.0101509,traffic_signals,,
9632287684,node,-27.4548006,153.0067755,traffic_signals,,signal
9632287720,node,-27.4579436,153.0100067,crossing,unmarked,
9642100090,node,-27.4675065,153.0177943,traffic_signals,,signal
9642111423,node,-27.4675964,153.0177277,crossing,traffic_signals,
9642314777,node,-27.465072,153.0133089,traffic_signals,,
9642314805,node,-27.4661555,153.0121558,crossing,unmarked,
9642481966,node,-27.466027,153.016067,traffic_signals,,signal
9689226984,node,-27.4731564,153.0052504,traffic_signals,,
9689227023,node,-27.473267,153.0051749,traffic_signals,,pedestrian_crossing
9689227025,node,-27.473251,153.0050184,traffic_signals,,
9689227027,node,-27.4730784,153.005029,traffic_signals,,
9689227028,node,-27.4730953,153.0051161,crossing,traffic_signals,
9689227032,node,-27.4727444,153.0054591,traffic_signals,,
9689227033,node,-27.4727769,153.0055135,crossing,traffic_signals,
9689227036,node,-27.4728695,153.0056343,traffic_signals,,
9787457687,node,-27.4545677,153.0068679,traffic_signals,,signal
9809916275,node,-27.4727249,153.0162221,crossing,unmarked,
9892967827,node,-27.4639941,153.0120853,crossing,unmarked,
9892967839,node,-27.4652119,153.0135087,crossing,uncontrolled,
9892967875,node,-27.4629252,153.0091324,crossing,uncontrolled,
9892967879,node,-27.4629623,153.0089914,crossing,unmarked,
9892967904,node,-27.4663615,153.0175324,crossing,unmarked,
9892967910,node,-27.466687,153.0188125,crossing,traffic_signals,
10001812938,node,-27.4728674,153.0163131,crossing,unmarked,
10001812955,node,-27.4723109,153.0173891,crossing,traffic_signals,
10001812958,node,-27.4723953,153.0172096,crossing,traffic_signals,
10001812963,node,-27.4720617,153.0172337,crossing,traffic_signals,
10001812967,node,-27.4722696,153.0174132,traffic_signals,,signal
10001812968,node,-27.4720328,153.0171896,traffic_signals,,signal
10001812988,node,-27.468472,153.0200412,crossing,unmarked,
10001812989,node,-27.4684522,153.0200202,crossing,unmarked,
10001812997,node,-27.4732484,153.0166761,crossing,unmarked,
10036211389,node,-27.4681383,153.0202184,crossing,unmarked,
10089579043,node,-27.4666501,153.0189653,crossing,traffic_signals,
10089579044,node,-27.466558,153.019001,crossing,traffic_signals,
10089579047,node,-27.4665939,153.018742,crossing,traffic_signals,
10089579048,node,-27.4664993,153.0187775,crossing,traffic_signals,
10089579087,node,-27.4669529,153.0172903,crossing,unmarked,
10089580225,node,-27.4675167,153.0177787,crossing,traffic_signals,
10131724549,node,-27.4556046,153.0135357,crossing,uncontrolled,
10132350959,node,-27.4557394,153.0134114,crossing,uncontrolled,
10132350960,node,-27.4556813,153.0135296,crossing,uncontrolled,
10134796921,node,-27.4555369,153.0133025,crossing,uncontrolled,
10134796922,node,-27.4554909,153.0134118,crossing,uncontrolled,
10134803150,node,-27.4561043,153.0128038,traffic_signals,,signal
10134803151,node,-27.4557064,153.0127766,traffic_signals,,signal
10163962296,node,-27.4685715,153.0110201,crossing,traffic_signals,
10290526870,node,-27.4631389,153.0107618,traffic_signals,,
10290526871,node,-27.4635135,153.0113002,traffic_signals,,
10290526872,node,-27.4633025,153.0112871,traffic_signals,,
10290526873,node,-27.463318,153.0110158,traffic_signals,,signal
10290526874,node,-27.4632818,153.0108494,traffic_signals,,pedestrian_crossing
10290537945,node,-27.4623546,153.0086772,traffic_signals,,signal
10290537946,node,-27.4625103,153.0087732,traffic_signals,,signal
10290537947,node,-27.462291,153.0090193,traffic_signals,,signal
